Record ID,Offender Number,Prison Start Date,Prison Admission Type,Intake Supervising Institution,Supervision Status,Sex,Race & Ethnicity,Education Category,Education,Age,Offense Code,Offense Classification,Offense Description,Offense Type,Offense Subtype,Months Served,Report Date
100,3318659,12/18/2020,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,43,321J.2(2)(c),D Felony,Operating While Intoxicated - 3rd or Subsequent Offense,Public Order,OWI,12,12/13/2021
101,20896691,12/13/2019,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,HiSET/GED,47,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,24,12/13/2021
102,19908803,04/28/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,34,714.2(3),Aggravated Misdemeanor,THEFT 3RD DEGREE,Property,Theft,8,12/13/2021
103,2417123,07/27/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Technical Training Completion,51,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft,5,12/13/2021
104,18242453,06/18/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Associate's Degree,52,714.2(2),D Felony,THEFT 2ND DEGREE,Property,Theft,18,12/13/2021
105,20744555,02/23/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Associate's Degree,30,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary,10,12/13/2021
106,18797213,05/27/2010,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,No HS Diploma,Eighth,32,707.3,B Felony,"MURDER - 2ND DEGREE,  85%",Violent,Murder/Manslaughter,138,12/13/2021
107,19917044,06/13/2018,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,Post-Secondary,Bachelor's Degree,48,709.4(1)(b)(3)(d),C Felony,"Sex Abuse 3rd/Victim 14/15, Def 4+-Life Special Sentence",Violent,Sex,42,12/13/2021
108,3094457,11/22/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,White,No HS Diploma,Tenth,48,713.6,D Felony,ATTEMPTED BURGLARY 2ND DEGREE,Property,Burglary,1,12/13/2021
109,18075005,06/26/2020,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,White,HS Diploma or Equivelent,High School Diploma,28,908.5(2)A,Aggravated Misdemeanor,SPECIAL SENTENCE REVOCATION - 1ST OFFENSE,Other,Other Criminal,18,12/13/2021
110,162707,06/17/2008,Other,Anamosa State Penitentiary,Prison Safekeeper,Male,Black,HS Diploma or Equivelent,HiSET/GED,52,None,None,None,None,None,162,12/13/2021
111,20809886,11/08/2021,Return No New Sentence,Iowa Medical & Classification Center,Prison,Male,Black,HS Diploma or Equivelent,High School Diploma,33,724.26,D Felony,"REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,1,12/13/2021
112,19369073,09/07/2021,Return No New Sentence,Iowa Correctional Institution for Women,Prison,Female,White,HS Diploma or Equivelent,HiSET/GED,33,715A.8(3)(a),C Felony,"Identity Theft Over $10,000",Property,Theft,3,12/13/2021
113,19951370,11/23/2021,New Admit New Sentence,Iowa Medical & Classification Center,Prison,Male,Hispanic,HS Diploma or Equivelent,HiSET/GED,39,707.2,A Felony,MURDER 1ST DEGREE,Violent,Murder/Manslaughter,1,12/13/2021
